First Name,Last Name, Gender, Current Address, Permanent Address,Police Station ,Police Post,Police ID,Email,Password,Phone Number
Raj,Patil,Male,Pune,Nashik,Jawahar Nagar Police Station ,Constable (CT),1161,joh@gmail.com,abceret,9923185339
Priya,Sharma,Female,Mumbai,Delhi,Mahesh Nagar Police Station ,Inspector (INSP),2245,priya@gmail.com,pwdps,9876543210
Amit,Kumar,Male,Delhi,Patna,Karol Bagh Police Station ,Sub-Inspector (SI),3356,amit@yahoo.com,secureak,7890123456
Deepa,Singh,Female,Bangalore,Chennai,Kanota Police Station ,Inspector of Police (PI),4412,deepa@hotmail.com,passwordds,8765432109
Sandeep,Verma,Male,Chandigarh,Lucknow,Police Station Subhash Chowk,Inspector (INSP),5533,sandeep@gmail.com,passsv,7654321098
Aisha,Khan,Female,Hyderabad,Bangalore,Police Station Bhiwadi ,Constable (CT),7890,aisha@gmail.com,secureak,8765432101
Vikram,Reddy,Male,Chennai,Hyderabad,Police Station Kho Nagoriyan ,Sub-Inspector (SI),2345,vikram@yahoo.com,passwordag,7654321098
Ananya,Gupta,Female,Udaipur,Delhi,Police Thana Adarsh Nagar ,Inspector (INSP),4567,ananya@hotmail.com,passrc,6543210987
Rahul,Choudhary,Male,Mumbai,Pune,Gandhi Nagar Police Thana Jaipur ,Constable (CT),8901,rahul@gmail.com,securepm,5432109876
Pooja,Mehta,Female,Ahmedabad,Surat,Police Thana Manak Chowk ,Sub-Inspector (SI),3456,pooja@yahoo.com,passwordpm,4321098765
Kunal,Shah,Male,Delhi,Mumbai,Police Station Bhiwadi ,Inspector (INSP),6789,kunal@hotmail.com,passks,3210987654
Shreya,Verma,Female,Bangalore,Chennai,Police Station Bhankrota,Constable (CT),9012,shreya@gmail.com,secure,2109876543
Aryan,Malik,Male,Chandigarh,Ludhiana,Police Station Bhiwadi ,Constable (CT),5178,aryan@yahoo.com,passwordam,1098765432
Neha,Singh,Female,Lucknow,Varanasi,Jhotwara Police Station,Sub-Inspector (SI),1209,neha@hotmail.com,passns,9173543280
Ravi,Yadav,Male,Jaipur,Udaipur,Malviya Nagar Police Station ,Inspector (INSP),3467,ravi@gmail.com,secureio,8267412309
Simran,Kaur,Female,Amritsar,Ludhiana,Police Station Ramganj ,Constable (CT),7892,simran@yahoo.com,passwordas,7653110208
Arjun,Sharma,Male,Jammu,Srinagar,Gandhi Nagar Police Station  ,Sub-Inspector (SI),2345,arjun@hotmail.com,pass456,6543210987
Sanya,Mehra,Female,Lucknow,Delhi,Police Thana Manak Chowk ,Additional Superintendent of Police(ASP),9087,sanya@gmail.com,securesm,9032109876
Vishal,Srivastava,Male,Kanpur,Kanota,Police Station ,Constable (CT),9045,vishal@yahoo.com,passwordvs,8721098765
Nisha,Patel,Female,Surat,Vadodara,Jhotwara Police Station ,Sub-Inspector (SI),5674,nisha@hotmail.com,passnish,9010987654
